21022023215605-11911111111-DINHEIRO-537.000000-21/02/2023 21:56:12-1-1-2-1-4-1-8-5-
21022023215829-11910101010-CARTAO_CREDITO-538.000000-21/02/2023 21:58:34-1-1-2-1-4-1-8-5-
21022023220628-11912121212-CARTAO_CREDITO-13683.000000-21/02/2023 22:06:35-1-1-2-1-4-1-8-5-
21022023220644-11912121212-CARTAO_DEBITO-150.000000-21/02/2023 22:06:48-1-1-2-1-4-1-8-5-
22022023142421-11918181818-CARTAO_CREDITO-1209.000000-22/02/2023 14:24:36-1-1-2-1-4-1-8-5-
22022023142445-11918181818-CARTAO_DEBITO-690.000000-22/02/2023 14:24:56-1-1-2-1-4-1-8-5-
22022023193823-11918181818-CARTAO_CREDITO-7677.000000-22/02/2023 19:38:32-1-1-2-1-4-1-8-5-
24022023113307-11918181818-CARTAO_CREDITO-861.000000-24/02/2023 11:33:12-1-1-2-1-4-1-8-5-
24022023113355-11918181818-DINHEIRO-12.000000-24/02/2023 11:33:57-1-1-2-1-4-1-8-5-
24022023201755-11912121212-CARTAO_CREDITO-1071.000000-24/02/2023 20:18:15-1-1-2-1-4-1-8-5-
